code,language,speakers,URIEL,learned,distance,name,joshi,family,l2v index,zeros in genetic distance,ones in genetic distance,rest in genetic distance,zeros in geographic distance,ones in geographic distance,rest in geographic distance,zeros in syntactic distance,ones in syntactic distance,rest in syntactic distance,zeros in inventory distance,ones in inventory distance,rest in inventory distance,zeros in phonological distance,ones in phonological distance,rest in phonological distance,zeros in featural distance,ones in featural distance,rest in featural distance
eng,English,1.5B,True,False,True,English,5.0,Indo-European,365,1,129,69,5,2,192,1,5,193,1,0,198,0,4,195,1,7,191
cmn,Mandarin Chinese,1.1B,True,False,True,Mandarin Chinese,5.0,Sino-Tibetan,358,1,187,11,2,9,188,9,1,189,1,0,198,0,1,198,1,1,197
hin,Hindi,609.5M,True,True,True,Hindi,4.0,Indo-European,382,1,131,67,25,2,172,1,0,198,1,0,198,1,11,187,1,2,196
spa,Spanish,559.1M,True,True,True,Spanish,5.0,Indo-European,469,1,140,58,4,4,191,1,10,188,1,0,198,1,9,189,1,11,187
fra,French,309.8M,True,True,True,French,5.0,Indo-European,371,1,130,68,10,2,187,1,3,195,1,0,198,1,9,189,1,4,194
arb,Standard Arabic,274.0M,True,True,True,Standard Arabic,,Afro-Asiatic,6506,1,190,8,7,10,182,142,2,55,192,0,7,0,0,199,141,4,54
ben,Bengali,272.8M,True,True,True,Bengali,3.0,Indo-European,346,1,125,73,14,2,183,5,3,191,1,0,198,2,7,190,1,7,191
por,Portuguese,263.6M,True,True,True,Portuguese,4.0,Indo-European,455,1,135,63,6,5,188,30,4,165,1,0,198,0,0,199,1,8,190
rus,Russian,255.0M,True,True,True,Russian,4.0,Indo-European,460,1,138,60,1,2,196,1,9,189,0,0,199,3,10,186,1,4,194
urd,Urdu,231.7M,True,True,True,Urdu,3.0,Indo-European,1322,1,156,42,11,34,154,22,4,173,1,0,198,0,0,199,1,6,192
ind,Indonesian,199.1M,True,True,True,Indonesian,3.0,Austronesian,644,1,191,7,3,7,189,1,2,196,1,0,198,0,3,196,1,7,191
deu,Standard German,133.2M,True,True,True,German,5.0,Indo-European,362,1,127,71,16,2,181,1,3,195,1,0,198,1,4,194,1,5,193
jpn,Japanese,123.4M,True,True,True,Japanese,5.0,Japonic,393,1,198,0,2,5,192,1,1,197,1,0,198,1,11,187,1,2,196
pcm,Nigerian Pidgin,120.7M,True,False,True,Nigerian Pidgin,0.0,Indo-European,749,1,146,52,9,10,180,90,0,109,1,0,198,0,0,199,1,63,135
arz,Egyptian Spoken Arabic,102.4M,True,False,True,Egyptian Arabic,3.0,Afro-Asiatic,342,1,172,26,5,2,192,4,0,195,1,0,198,1,10,188,1,4,194
mar,Marathi,99.2M,True,False,True,Marathi,2.0,Indo-European,1290,1,161,37,7,7,185,69,3,127,1,0,198,0,12,187,1,43,155
tel,Telegu,96.0M,True,False,True,Telugu,1.0,Dravidian,476,1,195,3,12,2,185,1,9,189,1,0,198,3,10,186,1,9,189
tur,Turkish,90.0M,True,True,True,Turkish,4.0,Turkic,488,1,191,7,6,5,188,1,2,196,1,0,198,1,10,188,1,8,190
tam,Tamil,86.6M,True,True,True,Tamil,3.0,Dravidian,796,1,195,3,6,6,187,1,1,197,1,0,198,0,0,199,1,8,190
yue,Yue Chinese,86.6M,True,False,True,Yue Chinese,1.0,Sino-Tibetan,501,1,191,7,8,6,185,38,4,157,1,0,198,1,1,197,1,13,185
vie,Vietnamese,85.8M,True,True,True,Vietnamese,4.0,Austroasiatic,492,1,195,3,11,4,184,15,3,181,1,0,198,1,1,197,1,2,196
wuu,Wu Chinese,83.4M,True,False,True,Wu Chinese,,Sino-Tibetan,496,1,190,8,8,9,182,35,6,158,1,0,198,1,9,189,1,26,172
tgl,Tagalog,83.1M,True,True,True,Tagalog,3.0,Austronesian,478,1,189,9,4,6,189,1,1,197,1,0,198,1,4,194,1,10,188
kor,Korean,81.7M,True,True,True,Korean,4.0,Koreanic,410,1,198,0,2,2,195,20,1,178,1,0,198,1,5,193,1,8,190
pes,Iranian Persian,78.6M,True,True,True,Iranian Persian,,Indo-European,452,1,134,64,3,8,188,23,2,174,1,0,198,1,10,188,1,12,186
hau,Hausa,78.5M,True,True,True,Hausa,2.0,Afro-Asiatic,378,1,173,25,11,4,184,1,2,196,1,0,198,2,7,190,1,1,197
swh,Swahili,71.6M,True,True,True,Swahili (individual language),,Atlantic-Congo,474,1,166,32,6,20,173,1,4,194,1,0,198,0,7,192,1,8,190
jav,Javanese,68.3M,True,True,True,Javanese,1.0,Austronesian,392,1,186,12,7,2,190,1,7,191,1,0,198,1,13,185,1,14,184
ita,Italian,67.9M,True,True,True,Italian,4.0,Indo-European,646,1,143,55,10,6,183,1,6,192,1,0,198,0,0,199,1,8,190
pnb,Western Punjabi,66.7M,False,False,True,Western Panjabi,,Indo-European,7351,1,173,25,8,75,116,46,0,153,122,0,77,0,2,197,44,4,151
guj,Gujarati,62.1M,True,False,True,Gujarati,1.0,Indo-European,1269,1,158,40,14,5,180,1,4,194,1,0,198,0,6,193,1,9,189
tha,Thai,60.8M,True,True,True,Thai,3.0,Tai-Kadai,479,1,193,5,7,4,188,2,3,194,1,0,198,0,1,198,1,3,195
kan,Kannada,58.7M,True,False,True,Kannada,1.0,Dravidian,1274,1,197,1,10,10,179,1,5,193,1,0,198,1,12,186,1,11,187
amh,Amharic,57.6M,True,True,True,Amharic,2.0,Afro-Asiatic,338,1,170,28,9,2,188,3,1,195,1,0,198,0,9,190,1,4,194
bho,Bhojpuri,52.5M,True,False,True,Bhojpuri,1.0,Indo-European,1943,1,165,33,11,4,184,2,7,190,72,0,127,0,0,199,1,23,175
pan,Eastern Punjabi,52.1M,True,False,True,Panjabi,,Indo-European,450,1,133,65,19,3,177,22,1,176,0,0,199,0,0,199,1,13,185
nan,Min Nan Chinese,50.3M,True,False,True,Min Nan Chinese,1.0,Sino-Tibetan,4828,1,197,1,32,16,151,5,25,169,140,0,59,1,4,194,5,31,163
cjy,Jinyu Chinese,48.0M,True,False,True,Jinyu Chinese,,Sino-Tibetan,3471,1,194,4,18,8,173,3,8,188,51,0,148,2,7,190,1,25,173
apc,Levantine Arabic,47.6M,True,False,True,North Levantine Arabic,,Afro-Asiatic,5362,1,163,35,4,10,185,35,2,162,184,0,15,0,0,199,33,10,156
yor,Yoruba,45.9M,True,True,True,Yoruba,2.0,Atlantic-Congo,7618,1,196,2,5,116,78,110,1,88,165,0,34,4,1,194,45,72,82
hak,Hakka Chinese,44.3M,True,False,True,Hakka Chinese,1.0,Sino-Tibetan,377,1,188,10,10,2,187,1,7,191,0,0,199,2,9,188,1,6,192
mya,Burmese,43.0M,True,True,True,Burmese,1.0,Sino-Tibetan,435,1,189,9,9,2,188,1,3,195,1,0,198,1,1,197,1,1,197
apd,Sudanese Spoken Arabic,42.4M,True,False,True,Sudanese Arabic,,Afro-Asiatic,6516,1,182,16,5,39,155,51,1,147,176,0,23,1,3,195,42,16,141
arq,Algerian Spoken Arabic,41.4M,True,False,True,Algerian Arabic,,Afro-Asiatic,1451,1,183,15,5,6,188,42,1,156,75,0,124,0,0,199,34,7,158
pol,Polish,40.6M,True,True,True,Polish,4.0,Indo-European,755,1,147,51,8,4,187,1,7,191,1,0,198,1,11,187,1,8,190
lin,Lingala,40.3M,True,False,True,Lingala,1.0,Atlantic-Congo,4304,1,165,33,16,6,177,105,2,92,1,0,198,0,0,199,1,38,160
ory,Odia,39.8M,False,False,True,Oriya (individual language),1.0,Indo-European,5557,1,187,11,2,125,72,83,2,114,184,0,15,0,0,199,77,4,118
ary,Moroccan Spoken Arabic,39.2M,True,True,True,Moroccan Arabic,,Afro-Asiatic,341,1,171,27,2,3,194,3,4,192,1,0,198,1,21,177,1,8,190
hsn,Xiang Chinese,38.1M,False,False,True,Xiang Chinese,,Sino-Tibetan,7472,1,183,15,4,136,59,141,0,58,185,0,14,0,0,199,133,2,64
mal,Malayalam,37.4M,True,False,True,Malayalam,1.0,Dravidian,1289,1,198,0,5,10,184,73,2,124,1,0,198,0,6,193,1,32,166
snd,Sindhi,33.2M,True,True,True,Sindhi,1.0,Indo-European,786,1,150,48,9,4,186,48,0,151,0,0,199,1,17,181,1,40,158
ukr,Ukrainian,33.0M,True,True,True,Ukrainian,3.0,Indo-European,818,1,152,46,5,6,188,52,4,143,1,0,198,0,0,199,1,27,171
sun,Sunda,32.4M,True,False,True,Sundanese,1.0,Austronesian,473,1,188,10,4,4,191,1,4,194,1,0,198,0,1,198,1,6,192
ibo,Igbo,30.9M,True,True,True,Igbo,1.0,Atlantic-Congo,388,1,165,33,9,2,188,1,4,194,1,0,198,1,5,193,1,4,194
prs,Dari,30.3M,True,True,True,Dari,0.0,Indo-European,2505,1,169,29,9,8,182,2,35,162,64,0,135,0,7,192,2,76,121
pbu,Northern Pashto,30.3M,False,False,True,Northern Pashto,,Indo-European,5290,1,160,38,24,13,162,129,0,70,180,0,19,0,0,199,123,2,74
uzn,Northern Uzbek,27.9M,True,False,True,Northern Uzbek,,Turkic,5296,1,171,27,7,9,183,114,4,81,149,0,50,3,4,192,112,9,78
zul,Zulu,27.8M,True,True,True,Zulu,2.0,Atlantic-Congo,506,1,167,31,10,4,185,36,1,162,1,0,198,1,7,191,1,14,184
skr,Saraiki,26.2M,False,False,True,Saraiki,,Indo-European,780,1,149,49,15,6,178,49,0,150,1,0,198,0,0,199,1,44,154
npi,Nepali,25.6M,False,False,True,Nepali (individual language),1.0,Indo-European,5154,1,157,41,6,53,140,116,3,80,181,0,18,0,0,199,112,8,79
aec,Sa'idi Spoken Arabic,25.1M,True,False,True,Saidi Arabic,,Afro-Asiatic,6039,1,172,26,5,11,183,51,1,147,80,0,119,0,7,192,47,9,143
nld,Dutch,24.5M,True,True,True,Dutch,4.0,Indo-European,727,1,145,53,6,5,188,49,5,145,1,0,198,0,0,199,1,21,177
ron,Romanian,24.5M,True,True,True,Romanian,3.0,Indo-European,459,1,137,61,11,3,185,1,13,185,1,0,198,1,16,182,1,4,194
gan,Gan Chinese,22.6M,False,False,True,Gan Chinese,1.0,Sino-Tibetan,2939,1,172,26,19,3,177,112,0,87,62,0,137,3,7,189,2,88,109
som,Somali,22.0M,True,True,True,Somali,1.0,Afro-Asiatic,468,1,175,23,5,5,189,1,3,195,1,0,198,0,8,191,1,8,190
mai,Maithili,21.8M,True,True,True,Maithili,1.0,Indo-European,1288,1,160,38,12,10,177,75,2,122,1,0,198,0,6,193,1,29,169
mag,Magahi,20.7M,True,False,True,Magahi,0.0,Indo-European,4444,1,146,52,18,16,165,107,4,88,181,0,18,0,0,199,104,12,83
pbt,Southern Pashto,19.9M,False,False,True,Southern Pashto,,Indo-European,6408,1,191,7,5,18,176,135,0,64,187,0,12,0,0,199,128,3,68
xho,Xhosa,19.2M,True,True,True,Xhosa,2.0,Atlantic-Congo,1231,1,181,17,6,12,181,1,3,195,1,0,198,0,0,199,1,8,190
gaz,West Central Oromo,19.2M,True,False,True,West Central Oromo,,Afro-Asiatic,7397,1,182,16,8,24,167,27,3,169,187,0,12,1,4,194,24,7,168
zlm,Malay,19.2M,True,False,True,Malay (individual language),3.0,Austronesian,4506,1,195,3,3,143,53,139,0,60,138,0,61,0,0,199,86,5,108
acm,Mesopotamian Spoken Arabic,18.2M,True,False,True,Mesopotamian Arabic,,Afro-Asiatic,4786,1,188,10,30,12,157,107,4,88,182,0,17,0,0,199,104,14,81
ars,Najdi Spoken Arabic,18.1M,True,False,True,Najdi Arabic,,Afro-Asiatic,5039,1,165,33,22,8,169,118,4,77,182,0,17,0,0,199,111,11,77
khm,Khmer,18.0M,True,True,True,Central Khmer,1.0,Austroasiatic,404,1,196,2,7,2,190,9,2,188,1,0,198,1,6,192,1,3,195
afr,Afrikaans,17.7M,True,True,True,Afrikaans,3.0,Indo-European,861,1,153,45,7,3,189,1,11,187,1,0,198,0,0,199,1,6,192
sin,Sinhala,17.6M,True,False,True,Sinhala,0.0,Indo-European,466,1,139,59,5,3,191,1,9,189,1,0,198,1,13,185,1,10,188
fuv,Nigerian Fulfulde,16.6M,True,True,True,Nigerian Fulfulde,,Atlantic-Congo,971,1,175,23,6,5,188,1,70,128,1,0,198,0,0,199,1,58,140
kaz,Kazakh,16.5M,True,False,True,Kazakh,3.0,Turkic,3741,1,168,30,18,12,169,102,4,93,49,0,150,4,9,186,1,43,155
hne,Chhattisgarhi,16.3M,False,True,True,Chhattisgarhi,,Indo-European,2318,1,167,31,10,30,159,69,0,130,69,0,130,0,0,199,31,4,164
ceb,Cebuano,16.0M,True,True,True,Cebuano,3.0,Austronesian,936,1,193,5,3,11,185,1,9,189,0,0,199,0,0,199,1,20,178
kmr,Northern Kurdish,15.8M,True,True,True,Northern Kurdish,,Indo-European,5288,1,175,23,16,12,171,80,6,113,105,0,94,1,0,198,76,5,118
asm,Assamese,15.3M,True,False,True,Assamese,1.0,Indo-European,1256,1,155,43,11,8,180,1,8,190,1,0,198,0,0,199,1,20,178
tts,Northeastern Thai,15.0M,False,False,True,Northeastern Thai,,Tai-Kadai,5310,1,196,2,5,29,165,126,4,69,184,0,15,0,0,199,120,10,69
azb,South Azerbaijani,14.9M,True,True,True,South Azerbaijani,1.0,Turkic,345,1,190,8,9,2,188,4,4,191,1,0,198,3,10,186,1,7,191
bar,Bavarian,14.6M,True,False,True,Bavarian,1.0,Indo-European,1867,1,164,34,7,33,159,2,10,187,74,0,125,1,9,189,1,23,175
kin,Kinyarwanda,14.5M,True,True,True,Kinyarwanda,1.0,Atlantic-Congo,663,1,172,26,10,5,184,47,5,147,1,0,198,0,0,199,1,22,176
nya,Chichewa,14.4M,True,True,True,Nyanja,1.0,Atlantic-Congo,5433,1,170,28,4,10,185,21,4,174,186,0,13,0,0,199,20,12,167
bam,Bamanankan,14.2M,True,False,True,Bambara,1.0,Mande,888,1,195,3,13,17,169,20,4,175,1,0,198,0,2,197,1,3,195
tsn,Setswana,13.7M,True,True,True,Tswana,2.0,Atlantic-Congo,6966,1,179,19,6,25,168,147,3,49,187,0,12,0,0,199,142,8,49
nso,Northern Sotho,13.7M,True,True,True,Pedi,1.0,Atlantic-Congo,5707,1,183,15,31,11,157,7,4,188,28,0,171,0,10,189,1,13,185
sot,Southern Sotho,13.5M,True,True,True,Southern Sotho,0.0,Atlantic-Congo,6441,1,182,16,8,44,147,142,0,57,190,0,9,0,0,199,138,7,54
ell,Greek,13.1M,True,True,True,Modern Greek (1453-),,Indo-European,364,1,128,70,11,2,186,1,3,195,1,0,198,1,10,188,1,5,193
swe,Swedish,13.1M,True,True,True,Swedish,4.0,Indo-European,793,1,150,48,3,3,193,1,4,194,1,0,198,0,0,199,1,5,193
hat,Haitian Creole,13.0M,True,False,True,Haitian,2.0,Indo-European,3150,1,170,28,16,3,180,92,3,104,57,0,142,0,0,199,1,18,180
ctg,Chittagonian,13.0M,True,False,True,Chittagonian,,Indo-European,2351,1,164,34,7,61,131,37,0,162,67,0,132,1,3,195,29,5,165
run,Rundi,12.9M,True,False,True,Rundi,0.0,Atlantic-Congo,768,1,173,25,7,2,190,44,6,149,1,0,198,0,0,199,1,49,149
